DATA;PRECIPITACAO_TOTAL;PRESSAO_ATMOSFERICA;TEMPERATURA_PONTO_ORVALHO;TEMPERATURA_MAXIMA;TEMPERATURA_MEDIA;TEMPERATURA_MINIMA;UMIDADE_RELATIVA;UMIDADE_RELATIVA;VENTO;VELOCIDADE_VENTO;
2018-01-01;0;918.520833;18.929167;31.4;23.829167;19.1;75.958333;43;10.8;1.5375;
2018-01-02;.4;916.429167;18.4125;32.4;22.854167;18.8;79.041667;35;17.8;1.7625;
2018-01-03;4.6;916.4875;19.666667;30.8;21.9;20.1;88.208333;47;12.2;1.2625;
2018-01-04;3.4;918.845833;19.366667;28;22.4625;19.8;83.708333;55;7.3;1.475;
2018-01-05;0;920.358333;17.633333;29.4;23.391667;17.9;73.208333;43;9.6;2.483333;
2018-01-06;0;920.225;17.004167;28.6;21.983333;17.2;75.583333;43;7.6;2.1125;
2018-01-07;0;919.316667;16.570833;29.9;22.445833;17.9;71.833333;34;8.3;2.4125;
2018-01-08;0;920.483333;14.841667;30;22.575;16.5;64.666667;35;9.1;3;
2018-01-09;0;921.766667;16.2375;30;22.5;16.1;70.166667;42;9.7;3.058333;
2018-01-10;.2;922.241667;18.591667;27;21.695833;19;83.125;59;11.2;3.358333;
2018-01-11;.6;921.695833;15.595833;29.3;21.945833;15.6;70.625;39;10;3.2;
2018-01-12;0;919.75;16.320833;30.6;21.704167;15.7;74.5;39;10.8;2.066667;
2018-01-13;2.8;918.85;17.425;30.7;23.8375;19.2;70.291667;38;9.3;2.570833;
2018-01-14;0;919.870833;16.5875;30.5;23.833333;18.7;66.916667;39;8.1;2.533333;
2018-01-15;0;920.541667;16.520833;30.2;23.4125;18.9;68.291667;35;9.4;2.7375;
2018-01-16;0;921.05;13.291667;31.7;23.7875;17.4;58;24;10;3.095833;
2018-01-17;0;921.045833;13.479167;30.2;22.729167;15;60.166667;27;12.6;3.379167;
2018-01-18;0;921.404167;15.079167;30.3;22.695833;15.8;65.291667;37;10.9;3.104167;
2018-01-19;0;921.0125;14.845833;31.9;23.3;16.5;63.791667;21;9.6;3.0125;
2018-01-20;0;919.9125;14.275;32.4;24.154167;18;58.916667;21;10.6;3.091667;
2018-01-21;0;919.1875;13.3375;32.5;23.891667;16.7;57.708333;19;8.9;2.708333;
2018-01-22;0;917.9625;13.970833;32.3;23.891667;16.9;58.291667;25;9.8;2.875;
2018-01-23;0;918.345833;14.708333;31.8;23.766667;16.7;61.541667;27;8.7;3.045833;
2018-01-24;0;918.108333;13.358333;31.3;23.420833;15.2;57.875;26;10.2;2.629167;
2018-01-25;0;917.391667;16.366667;30;23.120833;19.3;67.708333;36;9.8;2.983333;
2018-01-26;0;916.995833;15.829167;29.7;22.9;16.6;67.083333;37;10.7;2.095833;
2018-01-27;2.4;917;18.195833;31.2;22.5625;18.7;78.333333;38;11.3;2.25;
2018-01-28;1.4;916.691667;18.179167;31.9;23.770833;18.3;74.458333;36;7.5;1.779167;
2018-01-29;0;916.054167;17.945833;31.8;24.670833;21.4;68.333333;37;7.9;2.541667;
2018-01-30;0;914.841667;16.7;32.2;24.75;17.3;63.458333;37;7;2.091667;
2018-01-31;45.2;916.391667;19.154167;27.2;21.254167;18.9;88.541667;58;10.1;1.379167;
2018-02-01;.6;917.175;18.9;24.1;20.541667;19.5;90.583333;70;15.4;1.720833;
2018-02-02;6.6;915.379167;18.95;30;23.6875;18.7;77.041667;46;8.9;1.808333;
2018-02-03;47.8;915.0125;19.2625;22.8;19.929167;19.2;95.916667;80;11.6;1.604167;
2018-02-04;36;916.045833;19.3;21.3;19.929167;18.3;96.208333;93;9.5;1.895833;
2018-02-05;52;916.1875;19.1875;24.5;20.6375;18.9;91.625;70;10.1;2.366667;
2018-02-06;13.6;916.391667;19.175;28.5;22.420833;19.2;82.958333;54;10;2.525;
2018-02-07;2.8;917.075;19.241667;29.2;23.345833;18.7;79.666667;49;7.2;1.779167;
2018-02-08;0;917.675;19.133333;31;23.45;19.3;79.5;45;13.1;1.5375;
2018-02-09;18.4;919.1375;20.4375;26.7;22.004167;19.7;91.25;63;9.2;1.333333;
2018-02-10;8.2;919.725;18.254167;28.7;22.95;20;77.375;43;6.8;2.020833;
2018-02-11;0;919.7125;17.2375;28.8;22.316667;17.9;75.125;45;8.1;2.445833;
2018-02-12;0;919.258333;15.458333;30;21.895833;14.6;70.375;29;7.4;1.65;
2018-02-13;0;919.741667;16.583333;30.5;23.470833;18.5;68.375;32;7.9;2.2125;
2018-02-14;0;920.958333;16.883333;28.5;22.533333;17.5;72.291667;43;11;2.583333;
2018-02-15;0;922.075;17.541667;29.5;22.2125;18.6;77.083333;45;13.9;3;
2018-02-16;1.6;922.266667;18.004167;26.9;21.479167;18.5;81.708333;58;7.7;2.545833;
2018-02-17;2;920.795833;18.079167;28;21.708333;18.1;81.291667;51;10.6;2.654167;
2018-02-18;.2;919.133333;17.145833;29.6;22.495833;17.2;74.375;43;8.6;2.383333;
2018-02-19;0;917.745833;17.541667;29.7;22.766667;18.3;74.5;44;6.9;2.004167;
2018-02-20;0;917.666667;17.9625;29.1;22.95;18.1;75.125;48;6.3;1.304167;
2018-02-21;0;917.129167;18.904167;31.5;23.920833;19.8;75.583333;37;10.4;1.916667;
2018-02-22;0;917.195833;19.416667;29.3;22.691667;18.5;83.25;49;12;1.379167;
2018-02-23;23.4;918.066667;18.829167;31.2;23.2625;18.1;79.5;41;9.6;1.445833;
2018-02-24;4.6;918.5625;19.5375;28.1;22.508333;19.1;84.041667;57;9.9;1.533333;
2018-02-25;6;919.016667;19.325;28.5;22.866667;20.1;81.75;55;8.2;2.658333;
2018-02-26;17.4;919.754167;18.108333;29.1;22.666667;18.1;78.083333;42;7.7;1.9125;
2018-02-27;0;920.083333;17.358333;28.6;22.0875;18.1;77.166667;38;5.8;1.670833;
2018-02-28;0;918.9;17.095833;30.5;22.920833;16.4;72.666667;38;7.3;1.866667;
2018-03-01;0;920.154167;17.770833;31.3;23.079167;16.5;74.458333;39;6;1.75;
2018-03-02;0;920.354167;15.2625;30.9;23.025;16.6;65.083333;31;6.3;1.575;
2018-03-03;0;918.366667;15.129167;32.1;22.854167;14.8;65.541667;34;6.3;1.308333;
2018-03-04;0;916.508333;17.65;32.3;23.954167;17.3;71;37;6.8;1.670833;
2018-03-05;0;916.4375;20.095833;29.2;23.2375;21.1;83.083333;54;9.2;1.320833;
2018-03-06;.2;916.420833;20.466667;29.5;22.533333;19.5;88.75;55;12.5;1.1875;
2018-03-07;6;916.520833;20.408333;29.9;23.766667;18.9;83.166667;50;7.6;1.158333;
2018-03-08;21.2;917.075;19.995833;28;22.633333;19.1;86.208333;57;8.5;2.070833;
2018-03-09;0;917.966667;19.458333;29.7;23.058333;19.6;82.25;49;8.5;1.308333;
2018-03-10;9.6;917.958333;20.2;28.2;22.495833;18.9;87.75;58;12.7;1.295833;
2018-03-11;22.6;917.3125;20.2125;27.6;22.6875;19.9;86.875;61;10.2;2.175;
2018-03-12;1.6;916.220833;19.904167;28.2;23.120833;20.3;83.291667;59;10.3;2.604167;
2018-03-13;.2;917.625;20.225;29.3;23.083333;19.7;84.916667;53;8.8;1.333333;
2018-03-14;4.6;919.245833;19.7625;31;23.675;19.3;81.583333;46;10.9;.870833;
2018-03-15;33;920.008333;19.316667;30.2;23.558333;19.4;79.958333;44;8;1.575;
2018-03-16;0;919.270833;17.545833;30.5;23.454167;18.8;72.916667;29;7.7;1.975;
2018-03-17;0;918.133333;17.275;30;22.641667;17.4;74.25;39;6;1.516667;
2018-03-18;0;917.6125;17.875;28.7;22.5625;19.3;76.666667;44;6.9;2.404167;
2018-03-19;0;917.733333;17.6875;29.3;22.520833;16.9;76.958333;43;6.8;1.8;
2018-03-20;0;918.304167;17.245833;29.7;22.8;18.4;73.75;39;5.9;1.5375;
2018-03-21;0;null;null;null;null;16.5;null;74;3.3;null;
2018-03-22;null;null;null;null;null;null;null;60;2;null;
2018-03-23;null;null;null;null;null;null;null;null;null;null;
2018-03-24;null;null;null;null;null;null;null;null;null;null;
2018-03-25;null;null;null;null;null;null;null;null;null;null;
2018-03-26;null;null;null;null;null;null;null;null;null;null;
2018-03-27;null;null;null;null;null;null;null;null;null;null;
2018-03-28;null;null;null;null;null;null;72.076923;56;7.5;null;
2018-03-29;.2;920.108333;17.7375;27.2;21.35;18.2;81.166667;53;7.3;2.283333;
2018-03-30;3.2;919.641667;18.1875;27.7;21.366667;18.4;83.25;53;8.8;1.7625;
2018-03-31;0;919.341667;17.208333;29.2;22.433333;17.8;74.625;44;6.4;2.008333;
2018-04-01;0;918.516667;16.725;29.1;22.416667;18;72.833333;37;7.4;2.483333;
2018-04-02;0;917.991667;16.2625;29.4;22.1625;17.3;72.25;36;9.4;1.695833;
2018-04-03;0;916.554167;15.833333;30.4;21.9375;15.1;71.791667;33;5.9;1.308333;
2018-04-04;0;916.070833;16.916667;30.5;22.504167;15.5;72.958333;47;7;1.529167;
2018-04-05;0;916.283333;18.391667;30.1;23.075;17.3;76.875;47;8.5;1.758333;
2018-04-06;0;917.320833;17.45;29.5;22.195833;17.8;76.625;46;7.3;1.654167;
2018-04-07;0;918.65;17.2125;29.2;22.483333;17.4;74.083333;44;7.7;1.866667;
2018-04-08;0;919.879167;15.991667;29;21.970833;16.7;71.583333;37;7;2.058333;
2018-04-09;0;920.341667;16.391667;27.8;21.829167;18.4;72.791667;45;6.9;2.2;
2018-04-10;0;920.704167;17.091667;28.5;21.833333;18.7;75.791667;46;9.6;3.116667;
2018-04-11;.8;921.1625;15.95;27.5;20.325;15.8;78.125;46;10.8;3.0875;
2018-04-12;0;921.3875;16.470833;27.8;20.675;15.9;78.541667;50;8.9;2.891667;
2018-04-13;0;922.179167;17.570833;27.5;21.129167;17.5;80.916667;52;8.7;2.2125;
2018-04-14;.2;923;18.008333;27.2;21.5375;17.9;81.791667;51;8.9;1.858333;
2018-04-15;.2;923.183333;16.508333;28.6;21.691667;18;75.375;39;8.1;2.1125;
2018-04-16;0;921.966667;16.666667;27.5;21.845833;18.4;74.375;47;8.9;2.229167;
2018-04-17;.4;923.325;16.916667;22.4;19.2;16.7;87;69;9.3;3.1125;
2018-04-18;.2;925.3875;15.75;22.5;18.366667;15.3;85.041667;69;8.4;2.608333;
2018-04-19;0;925.083333;15.725;22.8;18.816667;16.1;82.75;64;6.5;2.241667;
2018-04-20;0;922.833333;15.4125;28;19.929167;13.3;77.666667;45;5.9;1.229167;
2018-04-21;0;921.0625;15.858333;24.9;19.583333;16;80.208333;55;8.1;1.945833;
2018-04-22;0;920.966667;14.720833;27.6;20.225;16;72.5;43;8.3;1.7875;
2018-04-23;0;922.016667;15.9875;27.9;20.179167;15.8;78.166667;46;7.6;1.841667;
2018-04-24;0;922.7;16.2125;27;20.6625;16.5;77.291667;49;8.6;1.791667;
2018-04-25;0;922.725;16.05;29.3;21.608333;16.2;73.166667;43;7.6;2.1625;
2018-04-26;1;922.266667;16.620833;28.4;21.408333;18;76.5;44;8.1;1.975;
2018-04-27;.2;921.983333;16.3625;28.6;21.2125;16.2;76.208333;45;6.2;1.4875;
2018-04-28;0;922.495833;16.8625;28.5;21.533333;18;76.791667;44;8.4;2.3125;
2018-04-29;1.4;922.816667;16.466667;24.9;19.904167;17.4;81.916667;55;6.8;2.229167;
2018-04-30;0;922.820833;15.708333;26;20.016667;15.6;78.083333;51;5.6;1.508333;
2018-05-01;.2;922.895833;15.9625;26.6;19.591667;15.4;81.458333;50;7.4;1.5375;
2018-05-02;0;922.820833;16.020833;29.2;21.4125;15.8;74.041667;41;7.2;1.716667;
2018-05-03;1.2;922.883333;17.379167;27.1;21.283333;18.5;79.5;54;6.3;1.616667;
2018-05-04;0;922.333333;14.5875;29.4;21.291667;15.9;69.708333;31;6.6;1.5875;
2018-05-05;0;922.854167;14.970833;28;19.825;13.3;75.916667;43;9.4;1.8875;
2018-05-06;0;923.266667;14.6;27.7;20.195833;14.9;72.833333;41;8.3;1.729167;
2018-05-07;0;922.9625;13.829167;26.9;19.233333;13.6;73.458333;43;7.7;1.870833;
2018-05-08;0;922.433333;12.458333;27.2;19.266667;13.4;68.25;31;7.3;1.770833;
2018-05-09;0;922.395833;13.104167;26.3;18.041667;10.8;74.666667;47;8.8;1.733333;
2018-05-10;.4;923;15.354167;22.7;18.158333;15.7;84.25;63;10.2;3.029167;
2018-05-11;0;922.7;13.7625;28.2;19.795833;13.4;72.166667;33;6.1;1.770833;
2018-05-12;0;920.825;15.104167;29;21.225;16.7;70.708333;37;5.3;1.133333;
2018-05-13;0;920.4125;16.3;28.6;21.370833;16.6;74.875;40;5.8;.858333;
2018-05-14;0;921.416667;16.1;27.7;21.320833;17.6;74.625;41;8.1;1.8375;
2018-05-15;1.2;921.854167;16.608333;25.9;20.083333;16.9;81.541667;55;9.2;2.179167;
2018-05-16;0;921.479167;15.0875;27.6;20.333333;14.7;74.583333;40;6.6;1.466667;
2018-05-17;0;920.758333;16.020833;26.9;19.854167;13.5;80.291667;49;7.4;1.529167;
2018-05-18;0;920.870833;15.908333;28.7;21.6125;17;73.208333;39;8.1;1.629167;
2018-05-19;0;919.633333;14.8875;29.1;21.845833;16.1;67.833333;36;7.2;1.604167;
2018-05-20;0;918.066667;14.858333;30.8;22.179167;15;66.541667;36;10.5;2.166667;
2018-05-21;0;919.883333;16.625;27.3;20.858333;16.4;77.916667;56;7;1.3125;
2018-05-22;0;922.183333;17.129167;26;20.995833;18.8;79.666667;55;6.7;1.9375;
2018-05-23;0;923.420833;17.591667;24.3;20.066667;16.2;86.041667;68;6.7;1.666667;
2018-05-24;4.8;925.15;17.570833;21.8;18.591667;17.5;93.791667;78;8.7;2.325;
2018-05-25;5.4;924.491667;13.866667;24.9;18.345833;13.8;77.708333;42;8.5;2.504167;
2018-05-26;0;923.791667;14.1125;24.9;18.129167;13.2;79.583333;48;8;2.016667;
2018-05-27;.2;924.829167;15.133333;20.4;17.754167;15.7;84.958333;71;8;2.375;
2018-05-28;.2;925.5;15.233333;21.3;17.875;16;84.916667;71;10;3.075;
2018-05-29;.2;925.591667;13.808333;21.8;17.091667;12.9;81.833333;62;7.9;2.266667;
2018-05-30;0;924.341667;12.079167;24.8;16.629167;10.7;77.208333;42;6.3;1.5375;
2018-05-31;0;922.1125;11.616667;26.4;18.179167;12.9;70;26;9.1;1.366667;
2018-06-01;0;921.766667;14.125;26.3;18.925;14.3;76.166667;42;8.1;1.570833;
2018-06-02;0;922.695833;16.058333;25.1;20.175;15.4;78.5;56;4.3;.691667;
2018-06-03;0;923.591667;17.941667;27;21.308333;18.4;82.125;58;6.3;1.620833;
2018-06-04;.2;924.408333;15.725;23.8;19.308333;16.6;80.75;56;8.6;2.15;
2018-06-05;0;922.516667;14.483333;23.2;17.883333;14;81.541667;59;7.4;1.1875;
2018-06-06;0;920.745833;15.058333;27.2;19.2;14.8;79.5;43;6.5;1.233333;
2018-06-07;.2;921.879167;14.516667;29.7;19.425;12.7;77;38;5.9;1.058333;
2018-06-08;0;922.520833;14.7875;30.7;20.9625;13.7;72.583333;31;5.5;.908333;
2018-06-09;0;924.045833;16.0375;26.6;20.308333;15.4;78.208333;51;10.5;2.129167;
2018-06-10;0;924.116667;17.295833;24.8;20.220833;17;84.041667;61;7.6;2.004167;
2018-06-11;1.2;923.2875;16.554167;24.6;19.475;16.9;84.291667;58;7.2;1.658333;
2018-06-12;0;923.104167;15.704167;27.6;20.441667;17.2;76.791667;40;5.9;1.583333;
2018-06-13;0;923.395833;12.6125;27.9;19.058333;12.8;70.291667;32;7.4;1.470833;
2018-06-14;0;923.716667;12.345833;27.9;19.658333;13.5;68.25;25;7.7;1.55;
2018-06-15;0;925.2;12.125;25.9;18.2625;12.4;70.208333;37;7.7;1.595833;
2018-06-16;0;925.741667;10.754167;25.9;16.979167;8.4;70.208333;34;8.4;1.620833;
2018-06-17;0;926.4875;11.920833;26.6;18.741667;12.6;69.666667;28;7.8;2.208333;
2018-06-18;0;927.0375;12.0625;25.7;17.616667;12.3;73.583333;36;11.7;2.066667;
2018-06-19;0;926.816667;12.154167;25.9;17.491667;11.4;73.833333;39;10.6;1.925;
2018-06-20;0;926.758333;14.558333;22;17.8875;14.8;81.625;62;8.1;2.441667;
2018-06-21;0;925.433333;12.85;27.3;18.8;13.4;72.041667;33;10.1;2.108333;
2018-06-22;0;924.654167;12.804167;25.2;17.65;10.8;75.333333;47;6.6;1.4625;
2018-06-23;0;923.691667;13.2625;25.7;17.729167;10.2;77.583333;48;7.7;1.525;
2018-06-24;0;923.816667;14.525;26.7;19.795833;15.5;74.208333;41;9.4;1.775;
2018-06-25;0;922.879167;13.533333;26.8;19.366667;13.5;72.5;33;10;2.066667;
2018-06-26;0;922.9625;12.420833;25.9;17.6625;11.8;74.791667;37;8.4;1.333333;
2018-06-27;0;923.316667;12.625;27;18.733333;12.4;71.083333;35;8.5;1.016667;
2018-06-28;0;923.554167;11.108333;26.5;18.883333;12.3;64.5;31;10.1;2.504167;
2018-06-29;0;923.070833;12.629167;26;18.975;13.7;68.833333;39;7.8;1.966667;
2018-06-30;0;921.5875;14.4375;27.1;19.741667;16;74.125;38;10.2;1.8625;
2018-07-01;0;921.220833;14.054167;25.9;19.045833;14.5;74.041667;48;5.9;1.270833;
2018-07-02;0;921.533333;14.570833;27.1;19.741667;14.7;74.5;42;6.7;1.429167;
2018-07-03;0;921.866667;13.1125;27.4;19.591667;12.8;70.333333;28;7.4;1.304167;
2018-07-04;0;922.325;9.216667;27.4;18.075;9.9;62.708333;22;9.1;1.766667;
2018-07-05;0;923.691667;9.808333;26;17.095833;10.1;66.666667;31;7.4;1.533333;
2018-07-06;0;923.6875;11.620833;26.1;18.05;13;69.666667;33;7.1;1.883333;
2018-07-07;0;923.4625;10.820833;27;17.779167;10;68.5;30;9.2;2.016667;
2018-07-08;0;923.004167;9.833333;28.4;17.695833;8.2;64.875;29;6;.858333;
2018-07-09;.2;922.945833;12.175;27.2;17.929167;10.2;73.166667;32;6.5;1.070833;
2018-07-10;0;922.875;10.15;28.4;18.433333;9.2;64.375;26;7.4;1.254167;
2018-07-11;0;922.745833;9.095833;29.1;18.1375;8.2;61.458333;24;6.5;1.270833;
2018-07-12;0;924.725;11.5375;27.1;18.545833;10.9;67.416667;34;7.9;1.841667;
2018-07-13;0;924.925;12.7125;27;18.995833;14.6;69.458333;32;6.7;2.0375;
2018-07-14;0;923.8125;11.170833;27.2;19.0375;13.6;65.083333;28;8.9;1.854167;
2018-07-15;0;924.179167;12.279167;25.4;18.75;14;68.375;40;7.9;2;
2018-07-16;0;925.316667;12.495833;27;19.0625;13;69.583333;33;8.4;1.916667;
2018-07-17;0;925.379167;15.045833;24.4;18.179167;14.1;82.791667;60;10.5;2.466667;
2018-07-18;.4;925.2375;11.566667;26;17.983333;10.7;71.416667;31;11;2.541667;
2018-07-19;0;924.004167;11.891667;26;18.05;12.9;71.291667;33;8.3;2.320833;
2018-07-20;0;923.45;13.158333;25.7;17.541667;11.8;77.041667;49;8.2;1.966667;
2018-07-21;0;923.6375;11.008333;26.6;16.741667;7.9;72.5;39;8.4;1.4;
2018-07-22;0;924.004167;11.2375;26.3;19.120833;15.3;66;24;10.6;2.675;
2018-07-23;0;925.0125;11.0875;26.4;17.879167;12.1;68;34;9;2.395833;
2018-07-24;1;925.508333;11.241667;25.5;18.004167;13.5;68.333333;33;10.1;2.658333;
2018-07-25;0;926.266667;10.204167;26;17.904167;10.8;65.041667;32;9;2.108333;
2018-07-26;0;926.0625;10.845833;25.8;18.079167;12.5;66.416667;30;7.9;1.841667;
2018-07-27;0;925.329167;10.741667;25.3;17.729167;11.9;66.708333;34;8.7;1.591667;
2018-07-28;0;924.275;9.970833;25.9;17.429167;9.9;65.583333;31;7.4;1.633333;
2018-07-29;0;923.1625;10.25;26.7;18.866667;12.4;61.625;28;8;1.720833;
2018-07-30;0;922.191667;9.9;27.3;18.366667;10.9;62.875;26;8;1.545833;
2018-07-31;0;921.875;9.966667;28.3;18.1625;9.9;64.625;25;6.8;1.120833;
2018-08-01;0;920.8;10.329167;29.7;19.154167;9;62;25;8.3;1.425;
2018-08-02;0;921.875;13.566667;28.5;20.504167;14.9;67.708333;33;6.9;1.929167;
2018-08-03;0;921.5;11.895833;29.3;20.870833;15;61.333333;27;8.3;1.95;
2018-08-04;0;920.658333;12.345833;30.5;21.1125;12.3;62.291667;28;7.9;1.758333;
2018-08-05;0;919.995833;11.804167;32.1;22.129167;12.6;57.291667;22;7;1.345833;
2018-08-06;0;922.1375;13.320833;32;23.1;14.3;58.875;26;8.1;1.854167;
2018-08-07;0;923.241667;13.920833;29.9;21.6625;14.9;65.083333;31;11.6;2.45;
2018-08-08;0;924.570833;13.5125;28.8;20.495833;14.4;68.125;34;8.8;2.058333;
2018-08-09;0;923.191667;13.091667;28.9;20.6375;14.3;65.75;28;6.7;1.475;
2018-08-10;0;921.125;12.258333;32.1;21.854167;13;59.083333;27;6.4;.9125;
2018-08-11;0;920.970833;12.8875;31.8;23.020833;15;57.125;23;6.9;1.004167;
2018-08-12;0;920.504167;11.333333;33;23.004167;13.5;54.375;20;7.6;1.141667;
2018-08-13;0;920.7375;15.15;29.7;22.520833;17.9;66.333333;33;8.3;2.1125;
2018-08-14;0;921.129167;14.6;29.4;22.458333;19;64.291667;30;8.3;2.333333;
2018-08-15;0;922.254167;13.5;29;21.679167;15.6;63.291667;32;9.5;1.625;
2018-08-16;0;924.575;13.466667;28;21.566667;16.4;62.541667;34;7.8;2.2375;
2018-08-17;0;926.420833;14.625;24.9;20.570833;17.8;69.708333;45;6.9;2.179167;
2018-08-18;0;925.645833;13.5625;24.4;19.5375;16.7;69.875;46;7.8;2.833333;
2018-08-19;0;925.8875;13.854167;22.1;18.295833;16.1;76.083333;56;6.9;2.220833;
2018-08-20;0;925.829167;11.554167;28.5;18.995833;11.3;67.125;30;9.7;1.866667;
2018-08-21;0;925.483333;12.8375;28.6;21.05;15.8;63.041667;30;11.3;2.604167;
2018-08-22;0;924.804167;13.254167;28.2;20.708333;15.3;65.125;33;8.8;2.341667;
2018-08-23;0;923.004167;12.65;29.3;21.520833;16.4;61.083333;27;10.3;2.2;
2018-08-24;0;923.016667;12.195833;28.7;21.670833;16.6;58.375;27;10;2.541667;
2018-08-25;0;923.441667;12.704167;29.4;21.629167;16.6;60.541667;29;8;2.395833;
2018-08-26;0;923.545833;11.3625;29.9;20.8625;12.9;58.75;27;9.1;2.275;
2018-08-27;0;924.008333;11.85;26.9;19.9375;12.8;62.5;34;11.8;3.658333;
2018-08-28;0;925.379167;12.654167;27.5;19.791667;13.7;66.5;34;10.3;3.716667;
2018-08-29;0;925.425;11.191667;28.2;20.179167;15.2;60.625;28;10.9;3.266667;
2018-08-30;0;923.8;10.3875;27.8;18.8;12.4;62.625;29;9.4;2.55;
2018-08-31;0;922.358333;10.916667;27.5;19.975;12.6;59.25;31;9.2;2.316667;
2018-09-01;0;921.9;10.879167;29.4;21.195833;14.8;56.958333;26;9.8;2.3875;
2018-09-02;0;921.695833;11.441667;27.9;21.133333;16.9;57.666667;27;8.6;2.595833;
2018-09-03;0;920.004167;8.425;31.5;20.166667;9.9;53.666667;19;7.5;1.4125;
2018-09-04;0;916.666667;8.979167;33;22.85;12.5;46.333333;17;10.9;2.075;
2018-09-05;0;918.658333;11.779167;32.9;23.016667;12.9;54.083333;24;9.5;1.5375;
2018-09-06;0;922.9875;15.35;26.4;21.425;19.2;69.125;48;9.5;3.9;
2018-09-07;0;923.954167;13.075;26.1;19.729167;16.8;67.541667;38;9.5;3.2625;
2018-09-08;0;922.641667;10.195833;28.3;19.616667;13.4;59.416667;27;11.3;2.0875;
2018-09-09;0;922.491667;8.370833;28.2;19.258333;10.9;55;23;9.6;2.675;
2018-09-10;0;922.0125;9.725;28.8;19.866667;12.8;57.083333;26;9.3;2.058333;
2018-09-11;0;921.433333;9.283333;29.6;20.55;13.8;54.666667;21;6.9;1.875;
2018-09-12;0;921.570833;11.8375;29.4;20.5375;12.8;61.25;29;8;2.420833;
2018-09-13;0;922.2125;12.6375;26.3;20.195833;16.2;63.916667;39;11.7;3.3875;
2018-09-14;0;920.2875;11.466667;29.2;20.729167;14.2;60.291667;28;9.5;3.054167;
2018-09-15;0;919.175;13.15;29.9;21.9625;15.8;60.75;31;8.1;2.341667;
2018-09-16;0;918.241667;12.529167;33;24.116667;15.4;53.208333;24;7.3;1.404167;
2018-09-17;0;918.8;14.358333;32.8;24.179167;18.3;58.125;25;12.3;2.2;
2018-09-18;0;919.1625;14.245833;33.2;24.525;18.2;57.666667;25;8.3;2.104167;
2018-09-19;0;920.816667;14.495833;29.9;22.9;19;61.166667;33;6.6;2.416667;
2018-09-20;0;920.9375;12.233333;32.4;23.054167;15.8;56.75;21;11.3;2.254167;
2018-09-21;0;920.379167;13.2625;32.6;23.3375;15.7;57.5;26;7.7;2.229167;
2018-09-22;1.8;918.633333;12.975;33.1;24.204167;15.6;54.791667;23;7.6;1.808333;
2018-09-23;0;919.429167;13.795833;32.9;25.270833;20.5;52.625;24;12;3.2;
2018-09-24;0;919.9875;11.470833;32.4;24.220833;18.3;50.75;17;12.9;2.529167;
2018-09-25;0;919.720833;11.475;31.6;23.379167;16.7;52.291667;20;9.3;2.666667;
2018-09-26;0;919.854167;10.991667;31.3;22.979167;14.7;52.125;20;11.7;3.141667;
2018-09-27;0;919.745833;12.404167;31.5;23.391667;18;55.333333;23;9.3;2.670833;
2018-09-28;0;918.95;10.341667;34.1;24.2375;14.7;47.833333;18;8.3;1.754167;
2018-09-29;0;918.845833;8.675;34.2;24.741667;14.7;42.5;13;10.2;1.995833;
